,Tipo Conexión,Tipo Carga,Tipo Corriente,Provincia
1069,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Tarragona
1070,MENNEKES.M,Carga Semirrápida (AC),AC,Tarragona
1071,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1072,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1073,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1074,MENNEKES.M+Schuko,Carga Lenta (AC),AC,Barcelona
1075,MENNEKES.M,Carga Lenta (AC),AC,Barcelona
1076,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1077,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1078,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1079,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1080,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1081,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Gerona
1082,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Barcelona
1083,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Barcelona
1084,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
1085,CCS Combo2+ChadeMO+MENNEKES.M+Schuko,Carga Rápida (DC),AC/DC,Barcelona
1086,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1087,CCS Combo2+MENNEKES.M,Carga Ultrarrápida (DC),AC/DC,Gerona
1088,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Lérida
1089,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Barcelona
1090,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Tarragona
1091,MENNEKES.M,Carga Rápida (DC),AC,Gerona
1092,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
1093,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Lérida
