,Tipo Conexión,Tipo Carga,Tipo Corriente,Provincia
1353,Schuko,ND 0kW,AC,Barcelona
1354,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Tarragona
1355,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
1356,CCS Combo2,Carga Ultrarrápida (DC),DC,Barcelona
1357,CCS Combo2,Carga Ultrarrápida (DC),DC,Lérida
1358,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Barcelona
1359,CCS Combo2,Carga Ultrarrápida (DC),DC,Lérida
1360,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
1361,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Barcelona
1362,CCS Combo2,Carga Rápida (DC),DC,Tarragona
1363,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Tarragona
1364,MENNEKES.F+Schuko,ND 0kW,AC/DC,Gerona
1365,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
1366,MENNEKES.M+Schuko,Carga Semirrápida (AC),AC,Barcelona
1367,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Gerona
1368,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
1369,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Lérida
1370,MENNEKES.M+Schuko,Carga Semirrápida (AC),AC,Barcelona
1371,CCS Combo2,Carga Ultrarrápida (DC),DC,Gerona
1372,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Barcelona
1373,MENNEKES.M,Carga Semirrápida (AC),AC,Tarragona
1374,MENNEKES.M+Schuko,Carga Semirrápida (AC),AC,Gerona
1375,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
1376,MENNEKES.M,Carga Semirrápida (AC),AC,Gerona
1377,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1378,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1379,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Tarragona
1380,CCS Combo2+ChadeMO+MENNEKES.M,ND 0kW,AC/DC,Barcelona
1381,CCS Combo2,Carga Ultrarrápida (DC),DC,Barcelona
1382,CCS Combo2,Carga Ultrarrápida (DC),DC,Gerona
1383,MENNEKES.M,Carga Semirrápida (AC),AC,Lérida
1384,MENNEKES.M,Carga Rápida (DC),AC,Gerona
1385,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Gerona
1386,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1387,CCS Combo2+ChadeMO,Carga Rápida (DC),DC,Lérida
1388,MENNEKES.F+Schuko,ND 0kW,AC/DC,Barcelona
1389,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
1390,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Gerona
1391,MENNEKES.M,Carga Rápida (DC),AC,Gerona
1392,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1393,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1394,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1395,MENNEKES+Schuko,ND 0kW,AC/DC,Barcelona
1396,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1397,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Barcelona
1398,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
1399,MENNEKES.M,Carga Rápida (DC),AC,Lérida
1400,MENNEKES.M,Carga Semirrápida (AC),AC,Tarragona
1401,CCS Combo2,Carga Ultrarrápida (DC),DC,Barcelona
1402,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
1403,Schuko,ND 0kW,AC,Barcelona
1404,MENNEKES.M,Carga Semirrápida (AC),AC,Tarragona
1405,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1406,MENNEKES.M,Carga Semirrápida (AC),AC,Lérida
1407,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
1408,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1409,CCS Combo2+ChadeMO,Carga Rápida (DC),DC,Barcelona
1410,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
1411,CCS Combo2+ChadeMO,Carga Rápida (DC),DC,Barcelona
1412,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Gerona
1413,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
1414,MENNEKES.M+Schuko,Carga Lenta (AC),AC,Barcelona
1415,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
1416,MENNEKES.M,Carga Semirrápida (AC),AC,Gerona
1417,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1418,MENNEKES.M,Carga Semirrápida (AC),AC,Gerona
1419,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Tarragona
1420,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
1421,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1422,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1423,CCS Combo2,Carga Ultrarrápida (DC),DC,Lérida
1424,TESLA,ND 0kW,AC,Barcelona
1425,MENNEKES.M,Carga Rápida (DC),AC,Gerona
1426,CCS Combo2,Carga Rápida (DC),DC,Lérida
1427,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
1428,MENNEKES.M,Carga Semirrápida (AC),AC,Lérida
1429,MENNEKES.M,Carga Semirrápida (AC),AC,Tarragona
1430,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1431,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
1432,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1433,MENNEKES.M,Carga Semirrápida (AC),AC,Gerona
1434,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Barcelona
1435,CCS Combo2+MENNEKES.M,Carga Rápida (DC),AC/DC,Lérida
1436,CCS Combo2,Carga Rápida (DC),DC,Barcelona
1437,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1438,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1439,MENNEKES.M+Schuko,Carga Lenta (AC),AC,Barcelona
1440,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Lérida
1441,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1442,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1443,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
1444,CCS Combo2,Carga Ultrarrápida (DC),DC,Barcelona
1445,MENNEKES.M,Carga Rápida (DC),AC,Tarragona
1446,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Tarragona
1447,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1448,CCS Combo2+ChadeMO+MENNEKES.M,ND 0kW,AC/DC,Barcelona
1449,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1450,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1451,MENNEKES.M,Carga Semirrápida (AC),AC,Gerona
1452,MENNEKES.M,Carga Semirrápida (AC),AC,Tarragona
1453,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1454,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
1455,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Tarragona
1456,CCS Combo2+ChadeMO+MENNEKES.M+Schuko,Carga Rápida (DC),AC/DC,Barcelona
1457,Schuko,ND 0kW,AC,Barcelona
1458,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
1459,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Barcelona
1460,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
1461,CCS Combo2+ChadeMO,Carga Rápida (DC),DC,Barcelona
1462,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1463,MENNEKES.M,Carga Semirrápida (AC),AC,Gerona
1464,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Barcelona
1465,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Barcelona
1466,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
1467,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
1468,CCS Combo2,Carga Ultrarrápida (DC),DC,Gerona
1469,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1470,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Barcelona
1471,CCS Combo2+ChadeMO+MENNEKES.M,Carga Ultrarrápida (DC),AC/DC,Tarragona
1472,MENNEKES.M,Carga Semirrápida (AC),AC,Tarragona
1473,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
1474,MENNEKES.M,Carga Lenta (AC),AC,Gerona
1475,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Barcelona
1476,MENNEKES.M,Carga Semirrápida (AC),AC,Lérida
1477,,ND 0kW,AC,Barcelona
1478,MENNEKES.M,Carga Semirrápida (AC),AC,Gerona
1479,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1480,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1481,MENNEKES.M,Carga Semirrápida (AC),AC,Tarragona
1482,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1483,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
1484,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1485,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Barcelona
1486,CCS Combo2,Carga Rápida (DC),DC,Barcelona
1487,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1488,CCS Combo2,Carga Rápida (DC),DC,Gerona
1489,MENNEKES.M,Carga Rápida (DC),AC,Lérida
1490,CCS Combo2,Carga Rápida (DC),DC,Lérida
1491,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Tarragona
1492,MENNEKES.M,Carga Semirrápida (AC),AC,Tarragona
1493,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Tarragona
1494,CCS Combo2+MENNEKES.M,Carga Rápida (DC),AC/DC,Lérida
1495,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1496,MENNEKES.M+Schuko,ND 0kW,AC/DC,Barcelona
1497,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Barcelona
1498,MENNEKES.M,Carga Semirrápida (AC),AC,Gerona
1499,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Barcelona
1500,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Barcelona
1501,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1502,Schuko,ND 0kW,AC,Barcelona
1503,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
1504,CCS Combo2,Carga Rápida (DC),DC,Barcelona
1505,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
1506,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1507,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1508,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Barcelona
1509,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1510,CCS Combo2,Carga Rápida (DC),DC,Lérida
1511,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Barcelona
1512,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
1513,MENNEKES.M,Carga Semirrápida (AC),AC,Tarragona
1514,CCS Combo2,Carga Rápida (DC),DC,Gerona
1515,,ND 0kW,AC,Gerona
1516,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
1517,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1518,MENNEKES.M,Carga Semirrápida (AC),AC,Lérida
1519,MENNEKES.M,Carga Rápida (DC),AC,Gerona
1520,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Tarragona
1521,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1522,Schuko,ND 0kW,AC,Barcelona
1523,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Barcelona
1524,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Barcelona
1525,MENNEKES.M,Carga Rápida (DC),AC,Gerona
1526,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1527,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1528,MENNEKES.M,Carga Rápida (DC),AC,Gerona
1529,MENNEKES.M,Carga Semirrápida (AC),AC,Tarragona
1530,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1531,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1532,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1533,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Barcelona
1534,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1535,MENNEKES.M,Carga Semirrápida (AC),AC,Gerona
1536,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1537,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Lérida
1538,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Tarragona
1539,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1540,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1541,MENNEKES.M,Carga Rápida (DC),AC,Tarragona
1542,MENNEKES.M,Carga Semirrápida (AC),AC,Gerona
1543,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Barcelona
1544,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
1545,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
1546,MENNEKES.M,Carga Rápida (DC),AC,Gerona
1547,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1548,CCS Combo2,Carga Rápida (DC),DC,Barcelona
1549,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
1550,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1551,Schuko,ND 0kW,AC,Barcelona
1552,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
1553,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1554,MENNEKES.M,Carga Semirrápida (AC),AC,Tarragona
1555,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1556,MENNEKES.M,Carga Semirrápida (AC),AC,Lérida
1557,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Gerona
1558,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1559,CCS Combo2,Carga Rápida (DC),DC,Barcelona
1560,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Barcelona
1561,CCS Combo2,Carga Rápida (DC),DC,Barcelona
1562,CCS Combo2,Carga Ultrarrápida (DC),DC,Gerona
1563,MENNEKES.M+Schuko,Carga Lenta (AC),AC,Barcelona
1564,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
1565,MENNEKES.M,Carga Semirrápida (AC),AC,Lérida
1566,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Tarragona
1567,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1568,MENNEKES.M,Carga Lenta (AC),AC,Barcelona
1569,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Tarragona
1570,CCS Combo2,Carga Ultrarrápida (DC),DC,Tarragona
1571,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
1572,MENNEKES.M,Carga Semirrápida (AC),AC,Tarragona
1573,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Barcelona
1574,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
1575,CCS Combo2+ChadeMO+MENNEKES.M,ND 0kW,AC/DC,Barcelona
1576,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
1577,MENNEKES.M,Carga Semirrápida (AC),AC,Gerona
1578,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Barcelona
1579,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1580,MENNEKES.M,Carga Rápida (DC),AC,Gerona
1581,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Lérida
1582,CCS Combo2,Carga Rápida (DC),DC,Barcelona
1583,CCS Combo2+ChadeMO,Carga Rápida (DC),DC,Barcelona
1584,MENNEKES.M,Carga Semirrápida (AC),AC,Gerona
1585,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Tarragona
1586,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Gerona
1587,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1588,CCS Combo2,Carga Rápida (DC),DC,Barcelona
1589,MENNEKES.M+Schuko,Carga Lenta (AC),AC,Barcelona
1590,MENNEKES.M,Carga Semirrápida (AC),AC,Gerona
1591,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
1592,MENNEKES.M,Carga Semirrápida (AC),AC,Tarragona
1593,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
1594,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1595,CCS Combo2+MENNEKES.M,Carga Rápida (DC),AC/DC,Barcelona
1596,CCS Combo2,Carga Ultrarrápida (DC),DC,Gerona
1597,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
1598,MENNEKES.M,Carga Rápida (DC),AC,Gerona
1599,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Barcelona
1600,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1601,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Barcelona
1602,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1603,MENNEKES.M+Schuko,Carga Lenta (AC),AC,Barcelona
1604,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1605,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
1606,MENNEKES.M,Carga Semirrápida (AC),AC,Gerona
1607,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1608,MENNEKES.M,Carga Rápida (DC),AC,Tarragona
1609,MENNEKES.M,Carga Semirrápida (AC),AC,Lérida
1610,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1611,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1612,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1613,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Gerona
1614,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
1615,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Barcelona
1616,CCS Combo2,Carga Rápida (DC),DC,Barcelona
1617,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1618,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1619,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Lérida
1620,MENNEKES.M,Carga Semirrápida (AC),AC,Lérida
1621,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1622,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Lérida
1623,MENNEKES.M,Carga Semirrápida (AC),AC,Tarragona
1624,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1625,CCS Combo2+MENNEKES.M,Carga Rápida (DC),AC/DC,Tarragona
1626,MENNEKES.M,Carga Semirrápida (AC),AC,Gerona
1627,MENNEKES.M,Carga Semirrápida (AC),AC,Tarragona
1628,MENNEKES.M+Schuko,Carga Semirrápida (AC),AC,Barcelona
1629,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
1630,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1631,CCS Combo2,Carga Ultrarrápida (DC),DC,Tarragona
1632,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Barcelona
1633,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Barcelona
1634,CCS Combo2,Carga Rápida (DC),DC,Barcelona
1635,CCS Combo2,Carga Rápida (DC),DC,Barcelona
1636,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Barcelona
1637,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Tarragona
1638,MENNEKES.M,Carga Semirrápida (AC),AC,Gerona
1639,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
1640,CCS Combo2,Carga Rápida (DC),DC,Gerona
1641,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1642,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Tarragona
1643,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1644,MENNEKES.M,Carga Semirrápida (AC),AC,Tarragona
1645,MENNEKES.M,Carga Semirrápida (AC),AC,Gerona
1646,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Tarragona
1647,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1648,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1649,MENNEKES.M,Carga Semirrápida (AC),AC,Gerona
1650,CCS Combo2,Carga Rápida (DC),DC,Barcelona
1651,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1652,MENNEKES.M+Schuko,Carga Lenta (AC),AC,Barcelona
1653,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1654,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1655,MENNEKES.M,Carga Semirrápida (AC),AC,Gerona
1656,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Barcelona
1657,MENNEKES.M,Carga Rápida (DC),AC,Gerona
1658,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1659,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
1660,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1661,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
1662,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1663,MENNEKES.M,Carga Semirrápida (AC),AC,Lérida
1664,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Barcelona
1665,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1666,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Lérida
1667,,ND 0kW,AC,Barcelona
1668,CCS Combo2,Carga Rápida (DC),DC,Barcelona
1669,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
1670,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Tarragona
1671,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1672,MENNEKES.M,Carga Rápida (DC),AC,Gerona
1673,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Tarragona
1674,CCS Combo2,Carga Ultrarrápida (DC),DC,Gerona
1675,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
1676,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Barcelona
1677,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Lérida
1678,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Barcelona
1679,MENNEKES.M,Carga Rápida (DC),AC,Gerona
1680,MENNEKES.M,Carga Semirrápida (AC),AC,Tarragona
1681,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1682,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
1683,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Barcelona
1684,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
1685,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
1686,MENNEKES.M,Carga Rápida (DC),AC,Gerona
1687,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Barcelona
1688,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Lérida
1689,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1690,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1691,MENNEKES.F+Schuko,ND 0kW,AC/DC,Gerona
1692,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Barcelona
1693,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Barcelona
1694,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
1695,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1696,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
1697,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Lérida
1698,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Barcelona
1699,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1700,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1701,CCS Combo2+ChadeMO,Carga Semirrápida (AC),DC,Gerona
1702,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1703,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Barcelona
1704,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Barcelona
1705,2xMENNEKES.F,ND 0kW,AC/DC,Barcelona
1706,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
1707,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
1708,MENNEKES.M+Schuko,Carga Lenta (AC),AC,Barcelona
1709,MENNEKES.M+Schuko,Carga Semirrápida (AC),AC,Barcelona
1710,MENNEKES.M,Carga Semirrápida (AC),AC,Lérida
1711,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1712,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Lérida
1713,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1714,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Tarragona
1715,Schuko,ND 0kW,AC,Barcelona
1716,Schuko,ND 0kW,AC,Barcelona
1717,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Gerona
1718,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Tarragona
1719,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1720,CCS Combo2+ChadeMO+MENNEKES.M+Shuko,ND 0kW,AC/DC,Barcelona
1721,MENNEKES.M,Carga Semirrápida (AC),AC,Gerona
1722,MENNEKES.M,Carga Semirrápida (AC),AC,Gerona
1723,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1724,MENNEKES.M,Carga Semirrápida (AC),AC,Lérida
1725,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1726,CCS Combo2,Carga Rápida (DC),DC,Tarragona
1727,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
1728,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Tarragona
1729,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Barcelona
1730,CCS Combo2,Carga Rápida (DC),DC,Barcelona
